url,page_type,slug,h1,seo_title,meta_description,canonical,og_title,og_description,og_image,robots,schema_type,primary_image,old_url_if_changed,notes
/,home,,"De meest effectieve machines voor berm, sloot, tuin en park",Machines voor berm, sloot, tuin en park | Wim van Breda,"Wim van Breda levert, onderhoudt en verhuurt professionele machines voor groen-, berm- en terreinbeheer. Nieuw, occasion en verhuur uit Geldermalsen.",https://www.wimvanbreda.nl/,Machines voor berm, sloot, tuin en park | Wim van Breda,"Wim van Breda levert, onderhoudt en verhuurt professionele machines voor groen-, berm- en terreinbeheer. Nieuw, occasion en verhuur uit Geldermalsen.",,"index,follow","Organization,WebSite",,,
/machines/,listing,machines,Nieuwe machines,Nieuwe machines voor groenbeheer | Wim van Breda,"Bekijk het actuele aanbod nieuwe machines voor groen-, berm- en terreinbeheer. Filter op machinetype en merk en vraag deskundig advies aan.",https://www.wimvanbreda.nl/machines/,Nieuwe machines voor groenbeheer | Wim van Breda,"Bekijk het actuele aanbod nieuwe machines voor groen-, berm- en terreinbeheer. Filter op machinetype en merk en vraag deskundig advies aan.",,"index,follow",,,,
/occasions/,listing,occasions,Occasions,Occasions: gebruikte machines | Wim van Breda,"Gebruikte machines, technisch nagekeken in onze eigen werkplaats. Filter op merk en type.",https://www.wimvanbreda.nl/occasions/,Occasions: gebruikte machines | Wim van Breda,"Gebruikte machines, technisch nagekeken in onze eigen werkplaats. Filter op merk en type.",,"index,follow",,,,
/verhuur/,listing,verhuur,Verhuur,Machines huren voor tijdelijke inzet | Wim van Breda,"Huur professionele machines voor groen-, berm- en terreinbeheer. Beschikbare verhuurmachines, korte lijnen en service vanuit Geldermalsen.",https://www.wimvanbreda.nl/verhuur/,Machines huren voor tijdelijke inzet | Wim van Breda,"Huur professionele machines voor groen-, berm- en terreinbeheer. Beschikbare verhuurmachines, korte lijnen en service vanuit Geldermalsen.",,"index,follow",,,,
/service/,fixed,service,"Service, reparatie en onderhoud","Service, reparatie en onderhoud | Wim van Breda","Reparatie en onderhoud van machines in onze werkplaats in Geldermalsen of bij u op locatie. Servicemonteurs, vervangend materieel en duizenden onderdelen op voorraad.",https://www.wimvanbreda.nl/service/,"Service, reparatie en onderhoud | Wim van Breda","Reparatie en onderhoud van machines in onze werkplaats in Geldermalsen of bij u op locatie. Servicemonteurs, vervangend materieel en duizenden onderdelen op voorraad.",,"index,follow",,,,
/merken/,listing,merken,Merken,Merken machines groenbeheer | Wim van Breda,"De merken waarmee Wim van Breda samenwerkt: Herder, Votex, GreenTec en meer. Zoek op merk of filter op machinetype.",https://www.wimvanbreda.nl/merken/,Merken machines groenbeheer | Wim van Breda,"De merken waarmee Wim van Breda samenwerkt: Herder, Votex, GreenTec en meer. Zoek op merk of filter op machinetype.",,"index,follow",,,,
/nieuws/,listing,nieuws,Nieuws,Nieuws over machines en het bedrijf | Wim van Breda,"Nieuwe machines in het programma, leveringen, beurzen en ontwikkelingen bij Wim van Breda in Geldermalsen.",https://www.wimvanbreda.nl/nieuws/,Nieuws over machines en het bedrijf | Wim van Breda,"Nieuwe machines in het programma, leveringen, beurzen en ontwikkelingen bij Wim van Breda in Geldermalsen.",,"index,follow",,,,
/werken-bij/,fixed,werken-bij,Werken bij Wim van Breda,Werken bij Wim van Breda: vacatures | Wim van Breda,Echte vakmensen met passie voor deze sector. Bekijk de actuele vacatures bij Wim van Breda in Geldermalsen of stuur een open sollicitatie.,https://www.wimvanbreda.nl/werken-bij/,Werken bij Wim van Breda: vacatures | Wim van Breda,Echte vakmensen met passie voor deze sector. Bekijk de actuele vacatures bij Wim van Breda in Geldermalsen of stuur een open sollicitatie.,,"index,follow",,,,
/geleverd/,listing,geleverd,Geleverd,Geleverde machines en projecten | Wim van Breda,"Machines die recent hun weg naar onze klanten vonden: maaiarmen, klepelmaaiers, veegmachines en meer, geleverd door Wim van Breda.",https://www.wimvanbreda.nl/geleverd/,Geleverde machines en projecten | Wim van Breda,"Machines die recent hun weg naar onze klanten vonden: maaiarmen, klepelmaaiers, veegmachines en meer, geleverd door Wim van Breda.",,"index,follow",,,,
/magazines/,listing,magazines,Magazines,Wim van Breda Magazine | Wim van Breda,"Onze magazines met machinenieuws, klantverhalen uit de praktijk en achtergronden over het werk in weg, berm en sloot.",https://www.wimvanbreda.nl/magazines/,Wim van Breda Magazine | Wim van Breda,"Onze magazines met machinenieuws, klantverhalen uit de praktijk en achtergronden over het werk in weg, berm en sloot.",,"index,follow",,,,
/over-ons/,fixed,over-ons,Over ons,Over ons: bewuste vooruitgang sinds 1957 | Wim van Breda,"Wim van Breda is een familiebedrijf met 45 collega’s, eigen werkplaats en ruim zestig jaar historie. Lees ons verhaal en bekijk de tijdlijn vanaf 1957.",https://www.wimvanbreda.nl/over-ons/,Over ons: bewuste vooruitgang sinds 1957 | Wim van Breda,"Wim van Breda is een familiebedrijf met 45 collega’s, eigen werkplaats en ruim zestig jaar historie. Lees ons verhaal en bekijk de tijdlijn vanaf 1957.",,"index,follow",,,,
/contact/,fixed,contact,Contact,"Contact, openingstijden en route | Wim van Breda","Bel, WhatsApp of bezoek Wim van Breda aan de Oudenhof 14 in Geldermalsen. Openingstijden, telefoonnummers per afdeling en contactformulier.",https://www.wimvanbreda.nl/contact/,"Contact, openingstijden en route | Wim van Breda","Bel, WhatsApp of bezoek Wim van Breda aan de Oudenhof 14 in Geldermalsen. Openingstijden, telefoonnummers per afdeling en contactformulier.",,"index,follow",,,,
/verhuur/maaimachines/,verhuur_categorie,maaimachines,Maaimachines,Maaimachines huren | Wim van Breda,"Zelfrijdende en getrokken maaimachines voor bermen, taluds en terreinen. Kort of langer huren, met instructie bij aflevering.",https://www.wimvanbreda.nl/verhuur/maaimachines/,Maaimachines huren | Wim van Breda,"Zelfrijdende en getrokken maaimachines voor bermen, taluds en terreinen. Kort of langer huren, met instructie bij aflevering.",,"index,follow",,,,
/verhuur/aanbouwwerktuigen-maaiarmen-kranen/,verhuur_categorie,aanbouwwerktuigen-maaiarmen-kranen,Aanbouwwerktuigen voor maaiarmen en kranen,Aanbouwwerktuigen voor maaiarmen en kranen huren,"Klepelkoppen, maaikorven, takkenscharen en greppelbakken die u tijdelijk op uw eigen arm of kraan zet. Bekijk het verhuuraanbod bij Wim van Breda in Geldermalsen.",https://www.wimvanbreda.nl/verhuur/aanbouwwerktuigen-maaiarmen-kranen/,Aanbouwwerktuigen voor maaiarmen en kranen huren,"Klepelkoppen, maaikorven, takkenscharen en greppelbakken die u tijdelijk op uw eigen arm of kraan zet. Bekijk het verhuuraanbod bij Wim van Breda in Geldermalsen.",,"index,follow",,,,
/verhuur/bosbouw/,verhuur_categorie,bosbouw,Bosbouw,Bosbouw huren | Wim van Breda,"Machines en werktuigen voor bosrandbeheer, houtverwerking en het vrijmaken van percelen. Bekijk het verhuuraanbod bij Wim van Breda in Geldermalsen.",https://www.wimvanbreda.nl/verhuur/bosbouw/,Bosbouw huren | Wim van Breda,"Machines en werktuigen voor bosrandbeheer, houtverwerking en het vrijmaken van percelen. Bekijk het verhuuraanbod bij Wim van Breda in Geldermalsen.",,"index,follow",,,,
/merken/as-motor/,merk,as-motor,AS-Motor,AS-Motor machines | Wim van Breda,"Bekijk het AS-Motor-programma bij Wim van Breda: Hoogovermaaiers en maaimachines voor ruw en steil terrein. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/as-motor/,AS-Motor machines | Wim van Breda,"Bekijk het AS-Motor-programma bij Wim van Breda: Hoogovermaaiers en maaimachines voor ruw en steil terrein. Advies, onderdelen en service uit Geldermalsen.",assets/brands/as-motor.png,"index,follow",(geen los schema; alleen Organization),assets/brands/as-motor.png,,
/merken/bb-umwelttechnik/,merk,bb-umwelttechnik,BB-Umwelttechnik,BB-Umwelttechnik machines | Wim van Breda,"Bekijk het BB-Umwelttechnik-programma bij Wim van Breda: Machines voor onkruidbeheersing en straatreiniging. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/bb-umwelttechnik/,BB-Umwelttechnik machines | Wim van Breda,"Bekijk het BB-Umwelttechnik-programma bij Wim van Breda: Machines voor onkruidbeheersing en straatreiniging. Advies, onderdelen en service uit Geldermalsen.",assets/brands/bb-umwelttechnik.png,"index,follow",(geen los schema; alleen Organization),assets/brands/bb-umwelttechnik.png,,
/merken/bretrac/,merk,bretrac,BreTrac,BreTrac machines | Wim van Breda,"Bekijk het BreTrac-programma bij Wim van Breda: Eigen machineconcept van Wim van Breda voor specialistisch beheerwerk. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/bretrac/,BreTrac machines | Wim van Breda,"Bekijk het BreTrac-programma bij Wim van Breda: Eigen machineconcept van Wim van Breda voor specialistisch beheerwerk. Advies, onderdelen en service uit Geldermalsen.",assets/brands/bretrac.png,"index,follow",(geen los schema; alleen Organization),assets/brands/bretrac.png,,
/merken/fermex/,merk,fermex,Fermex,Fermex machines | Wim van Breda,"Bekijk het Fermex-programma bij Wim van Breda: Klepelmaaiers en maaiarmen voor beheer van bermen en terreinen. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/fermex/,Fermex machines | Wim van Breda,"Bekijk het Fermex-programma bij Wim van Breda: Klepelmaaiers en maaiarmen voor beheer van bermen en terreinen. Advies, onderdelen en service uit Geldermalsen.",assets/brands/fermex.png,"index,follow",(geen los schema; alleen Organization),assets/brands/fermex.png,,
/merken/greentec/,merk,greentec,GreenTec,GreenTec machines | Wim van Breda,"Bekijk het GreenTec-programma bij Wim van Breda: Maaiarmen en takkenscharen met een modulair systeem. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/greentec/,GreenTec machines | Wim van Breda,"Bekijk het GreenTec-programma bij Wim van Breda: Maaiarmen en takkenscharen met een modulair systeem. Advies, onderdelen en service uit Geldermalsen.",assets/images/merken/greentec/greentec-1.webp,"index,follow",(geen los schema; alleen Organization),assets/brands/greentec.png,,
/merken/herder/,merk,herder,Herder,Herder machines | Wim van Breda,"Bekijk het Herder-programma bij Wim van Breda: Maaiarmen, maaikorven en dijkenmaaiers voor waterschappen en aannemers. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/herder/,Herder machines | Wim van Breda,"Bekijk het Herder-programma bij Wim van Breda: Maaiarmen, maaikorven en dijkenmaaiers voor waterschappen en aannemers. Advies, onderdelen en service uit Geldermalsen.",assets/images/merken/herder/herder-maaiarm.jpg,"index,follow",(geen los schema; alleen Organization),assets/images/merken/herder/herder-logo.png,,
/merken/hoaf/,merk,hoaf,HOAF,HOAF machines | Wim van Breda,"Bekijk het HOAF-programma bij Wim van Breda: Onkruidbestrijding met infraroodtechniek. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/hoaf/,HOAF machines | Wim van Breda,"Bekijk het HOAF-programma bij Wim van Breda: Onkruidbestrijding met infraroodtechniek. Advies, onderdelen en service uit Geldermalsen.",assets/brands/hoaf.png,"index,follow",(geen los schema; alleen Organization),assets/brands/hoaf.png,,
/merken/husmann/,merk,husmann,Husmann,Husmann machines | Wim van Breda,"Bekijk het Husmann-programma bij Wim van Breda: Veegmachines en aanbouwdelen voor terreinreiniging. Advies, onderdelen en service uit Geldermalsen.",https://www.wimvanbreda.nl/merken/husmann/,Husmann machines | Wim van Breda,"Bekijk het Husmann-programma bij Wim van Breda: Veegmachines en aanbouwdelen voor terreinreiniging. Advies, onderdelen en service uit Geldermalsen.",assets/brands/husmann.png,"index,follow",(geen los schema; alleen Organization),assets/brands/husmann.png,,
